category,sub_category,brand_name,file_no,serial_no,design_code,shade_no,color_code,sale_price,unit,supplier,material,pattern,color_name,type,roll_rate,cut_rate,size
Wallpaper,,Decor India,Aglaia,22,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,25,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,26,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,40,SM608101,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,41,SM608103,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,42,SM608104,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,43,SM608105,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,44,SM608106,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Salzburg,38,SM608302,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,37,SM608303,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,39,SM608304,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,40,SM608305,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,47,SM608501,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,46,SM608502,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,43,SM608503,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,42,SM608504,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,48,SM608505,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,41,SM608506,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,49,SM608601,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,45,SM608602,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Salzburg,44,SM608603,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
Wallpaper,,Decor India,Aglaia,2,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,1,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,3,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,18,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,19,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,17,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Aglaia,20,,,,105,Square Ft,Madhur,,,,,2600/3200,,
Wallpaper,,Decor India,Salzburg,18,XZ143201,,,110,Square Ft,Madhur,,,,,2600/ 3200,,
